fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2021-2022,March,02,ANDHRA PRADESH,0213,KURNOOL,14092511,203.429313482887,44,4709,19445.4941257,27592,84,52062,15252890,3776159,221084,303149,18722,1680.87597,52155.219509,346395,607606,452766,898026,24575,885964,1866976,79654,31028.8494133,8566118,45,57.18,61.41,100.43,NA
2021-2022,Nov,02,ANDHRA PRADESH,0207,GUNTUR,13027677,218.413739647332,38,4033,29593.1340665,26908,44,51347,12907784,4525387,244956,731204,44593,636.36416,58421.8719665,334819,573561,393478,736159,16119,872735,1697271,78255,28192.37374,6934664,13,58.33,61.54,100.46,NA
2021-2022,June,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,15241070,203.67302074844,43,4931,2652.26713,24208,54,65732,15255653,794379,43411,6417288,289595,572.58638,34296.50281,351854,570213,400413,722454,14954,583599,1149165,89940,31071.6493,8887041,68,76.35,80.3,100.54,NA
2021-2022,Oct,02,ANDHRA PRADESH,0204,EAST GODAVARI,17125780,226.680432029689,42,9802,24735.3861266,23919,40,64841,17174653,5408503,249091,2797453,125439,879.76443,64546.7281766,403895,589378,490954,831630,20221,977883,1815402,88760,38931.57762,9102988,41,65,66.87,100.38,NA
2021-2022,Oct,02,ANDHRA PRADESH,0211,Y.S.R,12933641,231.005874756362,52,3870,18756.43434425,20958,26,53703,12939260,2892349,130126,303171,13661,729.50276,49376.38785425,244408,388490,297208,546128,27090,608002,1203111,74661,29890.45075,7822641,57,66.1,69.85,100.41,NA
2021-2022,Dec,02,ANDHRA PRADESH,0202,VIZIANAGARAM,23186295,215.932034725256,55,11476,11214.79044475,18736,36,61852,22507653,2494348,93662,2762712,110187,570.94766,60386.97119655,408805,687775,436458,823698,24846,564952,1183051,80588,48601.2330918,13722186,56,85.65,86.36,100.38,NA
2021-2022,Aug,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,19122110,223.109006930722,52,5092,7839.91096,32673,52,68214,19150819,1007686,43498,7914314,290214,579.32352,51146.43657,362408,592212,401016,723403,34434,588874,1153925,100887,42727.20209,11241390,69,75.71,80.36,100.44,NA
2021-2022,July,02,ANDHRA PRADESH,0213,KURNOOL,12030607,208.58578644958,37,4259,3796.91431,16095,86,56672,11930981,2919154,220251,227436,18604,700.78135,29384.02621,315073,544382,449906,893313,10678,878887,1868738,72767,24886.33055,6702576,46,65.18,66.53,99.77,NA
2021-2022,June,02,ANDHRA PRADESH,0202,VIZIANAGARAM,20470212,199.258001394299,50,11242,5051.65805,8420,36,53068,20509238,2261616,93555,2407291,109946,537.47915,46455.43494,404286,675773,435873,822825,15541,571238,1240631,61488,40866.29774,12451410,50,89.11,89.38,100.41,NA
2021-2022,June,02,ANDHRA PRADESH,0204,EAST GODAVARI,13640832,208.518855313318,35,9339,7948.00119,16752,42,54175,13640903,4499940,248463,2002611,124862,803.15366,37195.00964,383673,554050,488809,828249,5688,948120,1772788,70927,28443.85479,7284955,33,72.55,74.71,100.44,NA
2021-2022,June,02,ANDHRA PRADESH,0207,GUNTUR,11704538,207.569634348616,36,3904,6061.81427,9604,55,61119,11705904,4169320,244588,649232,44523,600.87851,30960.59491,324924,555239,392480,734678,9478,872814,1697501,70723,24297.90213,6288513,9,65.52,66.74,100.47,NA
