shrid2,pc11_state_id,pc11_district_id
11-01-001-00002-000194,01,001
11-01-001-00002-000195,01,001
11-01-001-00002-000196,01,001
11-01-001-00002-000197,01,001
11-01-001-00002-000198,01,001
11-01-001-00002-000199,01,001
11-01-001-00002-000200,01,001
11-01-001-00002-000201,01,001
11-01-001-00002-000202,01,001
11-01-001-00002-000203,01,001
11-01-001-00002-000204,01,001
11-01-001-00002-000205,01,001
11-01-001-00002-000206,01,001
11-01-001-00002-000207,01,001
11-01-001-00002-000208,01,001
11-01-001-00002-000209,01,001
11-01-001-00002-000210,01,001
11-01-001-00002-000211,01,001
11-01-001-00002-000212,01,001
11-01-001-00002-000213,01,001
11-01-001-00002-000214,01,001
11-01-001-00002-000215,01,001
11-01-001-00002-000216,01,001
11-01-001-00002-000217,01,001
11-01-001-00002-000218,01,001
11-01-001-00002-000219,01,001
11-01-001-00002-000220,01,001
11-01-001-00002-000221,01,001
11-01-001-00002-000222,01,001
11-01-001-00002-000223,01,001
11-01-001-00002-000224,01,001
11-01-001-00002-000225,01,001
11-01-001-00002-000226,01,001
11-01-001-00002-000227,01,001
11-01-001-00002-000228,01,001
11-01-001-00002-000229,01,001
11-01-001-00002-000230,01,001
11-01-001-00002-000231,01,001
11-01-001-00002-000232,01,001
11-01-001-00002-000233,01,001
11-01-001-00002-000234,01,001
11-01-001-00002-000235,01,001
11-01-001-00002-000236,01,001
11-01-001-00002-000237,01,001
11-01-001-00002-000238,01,001
11-01-001-00002-000239,01,001
11-01-001-00002-000240,01,001
11-01-001-00002-000241,01,001
11-01-001-00002-000242,01,001
11-01-001-00002-000243,01,001
11-01-001-00002-000244,01,001
11-01-001-00002-000245,01,001
11-01-001-00002-000246,01,001
11-01-001-00002-000247,01,001
11-01-001-00002-000248,01,001
11-01-001-00002-000249,01,001
11-01-001-00002-000250,01,001
11-01-001-00002-000251,01,001
11-01-001-00002-000252,01,001
11-01-001-00002-000253,01,001
11-01-001-00002-000254,01,001
11-01-001-00002-000255,01,001
11-01-001-00002-000256,01,001
11-01-001-00002-000257,01,001
11-01-001-00002-000258,01,001
11-01-001-00002-000259,01,001
11-01-001-00002-000260,01,001
11-01-001-00002-000261,01,001
11-01-001-00002-000262,01,001
11-01-001-00002-000263,01,001
11-01-001-00002-000264,01,001
11-01-001-00002-000265,01,001
11-01-001-00002-000266,01,001
11-01-001-00002-000267,01,001
11-01-001-00002-000268,01,001
11-01-001-00002-000269,01,001
11-01-001-00002-000270,01,001
11-01-001-00002-000271,01,001
11-01-001-00002-000272,01,001
11-01-001-00002-000273,01,001
11-01-001-00002-000274,01,001
11-01-001-00002-000275,01,001
11-01-001-00002-000276,01,001
11-01-001-00002-000277,01,001
11-01-001-00002-000278,01,001
11-01-001-00002-000279,01,001
11-01-001-00002-000280,01,001
11-01-001-00002-000281,01,001
11-01-001-00002-000282,01,001
11-01-001-00002-000283,01,001
11-01-001-00002-000284,01,001
11-01-001-00002-000285,01,001
11-01-001-00002-000286,01,001
11-01-001-00002-000287,01,001
11-01-001-00002-000288,01,001
11-01-001-00002-000289,01,001
11-01-001-00002-000290,01,001
11-01-001-00002-000291,01,001
11-01-001-00002-000292,01,001
11-01-001-00002-000293,01,001
11-01-001-00002-000294,01,001
11-01-001-00002-000295,01,001
11-01-001-00002-000296,01,001
11-01-001-00002-000297,01,001
11-01-001-00002-000298,01,001
11-01-001-00002-000299,01,001
11-01-001-00002-000300,01,001
11-01-001-00002-000301,01,001
11-01-001-00002-000302,01,001
11-01-001-00002-000303,01,001
11-01-001-00002-000304,01,001
11-01-001-00002-000305,01,001
11-01-001-00002-000306,01,001
11-01-001-00002-000308,01,001
11-01-001-00002-000309,01,001
11-01-001-00002-000310,01,001
11-01-001-00002-000311,01,001
11-01-001-00002-000312,01,001
11-01-001-00002-000313,01,001
11-01-001-00002-000314,01,001
11-01-001-00002-000315,01,001
11-01-001-00002-000316,01,001
11-01-001-00002-000317,01,001
11-01-001-00002-000318,01,001
11-01-001-00002-000319,01,001
11-01-001-00002-000320,01,001
11-01-001-00002-000321,01,001
11-01-001-00002-000322,01,001
11-01-001-00002-000323,01,001
11-01-001-00002-000324,01,001
11-01-001-00002-000325,01,001
11-01-001-00002-000326,01,001
11-01-001-00002-800002,01,001
11-01-001-00003-000329,01,001
11-01-001-00003-000330,01,001
11-01-001-00003-000331,01,001
11-01-001-00003-000332,01,001
11-01-001-00003-000333,01,001
11-01-001-00003-000334,01,001
11-01-001-00003-000335,01,001
11-01-001-00003-000336,01,001
11-01-001-00003-000337,01,001
11-01-001-00003-000338,01,001
11-01-001-00003-000339,01,001
11-01-001-00003-000340,01,001
11-01-001-00003-000341,01,001
11-01-001-00003-000342,01,001
11-01-001-00003-000343,01,001
11-01-001-00003-000344,01,001
11-01-001-00003-000345,01,001
11-01-001-00003-000346,01,001
11-01-001-00003-000347,01,001
11-01-001-00003-000348,01,001
11-01-001-00003-000349,01,001
11-01-001-00003-000350,01,001
11-01-001-00003-000351,01,001
11-01-001-00003-000352,01,001
11-01-001-00003-000353,01,001
11-01-001-00003-000354,01,001
11-01-001-00003-000355,01,001
11-01-001-00003-000356,01,001
11-01-001-00003-000357,01,001
11-01-001-00003-000358,01,001
11-01-001-00003-000359,01,001
11-01-001-00003-000360,01,001
11-01-001-00003-000361,01,001
11-01-001-00003-000362,01,001
11-01-001-00003-000364,01,001
11-01-001-00003-000365,01,001
11-01-001-00003-000366,01,001
11-01-001-00003-000367,01,001
11-01-001-00003-000368,01,001
11-01-001-00003-000369,01,001
11-01-001-00003-000370,01,001
11-01-002-00004-000371,01,002
11-01-002-00004-000372,01,002
11-01-002-00004-000373,01,002
11-01-002-00004-000374,01,002
11-01-002-00004-000375,01,002
11-01-002-00004-000376,01,002
11-01-002-00004-000377,01,002
11-01-002-00004-000378,01,002
11-01-002-00004-000379,01,002
11-01-002-00004-000380,01,002
11-01-002-00004-000381,01,002
11-01-002-00004-000382,01,002
11-01-002-00004-000383,01,002
11-01-002-00004-000384,01,002
11-01-002-00004-000385,01,002
11-01-002-00004-000386,01,002
11-01-002-00004-000387,01,002
11-01-002-00004-000388,01,002
11-01-002-00004-000389,01,002
11-01-002-00004-000390,01,002
11-01-002-00004-000391,01,002
11-01-002-00004-000392,01,002
11-01-002-00004-000393,01,002
11-01-002-00004-000394,01,002
11-01-002-00004-000395,01,002
11-01-002-00004-000396,01,002
11-01-002-00004-000397,01,002
11-01-002-00004-000398,01,002
11-01-002-00004-000399,01,002
11-01-002-00004-000400,01,002
11-01-002-00004-000401,01,002
11-01-002-00004-000402,01,002
11-01-002-00004-000403,01,002
11-01-002-00004-000404,01,002
11-01-002-00004-000405,01,002
11-01-002-00004-000406,01,002
11-01-002-00004-000407,01,002
11-01-002-00004-000408,01,002
11-01-002-00004-000409,01,002
11-01-002-00004-000410,01,002
11-01-002-00004-000411,01,002
11-01-002-00004-000412,01,002
11-01-002-00004-000413,01,002
11-01-002-00004-000414,01,002
11-01-002-00004-000415,01,002
11-01-002-00004-000416,01,002
11-01-002-00004-000417,01,002
11-01-002-00004-000418,01,002
11-01-002-00004-000523,01,002
11-01-002-00005-000419,01,002
11-01-002-00005-000420,01,002
11-01-002-00005-000421,01,002
11-01-002-00005-000422,01,002
11-01-002-00005-000423,01,002
11-01-002-00005-000424,01,002
11-01-002-00005-000425,01,002
11-01-002-00005-000426,01,002
11-01-002-00005-000427,01,002
11-01-002-00005-000428,01,002
11-01-002-00005-000429,01,002
11-01-002-00005-000430,01,002
11-01-002-00005-000431,01,002
11-01-002-00005-000432,01,002
11-01-002-00005-000433,01,002
11-01-002-00005-000434,01,002
11-01-002-00005-000435,01,002
11-01-002-00005-000436,01,002
11-01-002-00005-000437,01,002
