fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2020-2021,Jan,11,GUJARAT,1104,BHAVNAGAR,1848901,196.27560125232,39,474,46.635172576,421,230,1248,1840856,56275,5745,7344,712,111.36862,3771.1549747654,46601,122666,55976,160213,373,100126,273535,1669,3613.1511821894,867258,47,87.42,93.31,100.07,NA
2020-2021,Jan,11,GUJARAT,1110,MAHESANA,654679,199.452687050101,48,33,265.58017877,1503,51,1388,668484,44780,5396,414,43,75.92423,1674.81370927,13845,18644,33722,56945,76,98039,171428,2891,1333.3093005,226063,69,74.61,75.21,100.03,NA
2020-2021,Jan,11,GUJARAT,1112,AHMADABAD,608364,191.116730247017,46,135,190.529750675,2105,67,1442,564902,36106,5139,4572,1729,64.20329,1334.355272175,12064,24465,23075,54901,261,117069,275615,3547,1079.6222315,242710,65,48.8,68,100.05,NA
2020-2021,Jan,11,GUJARAT,1121,PORBANDAR,206492,153.243684258901,34,4,57.867484574,223,1,939,206720,55826,6389,6797,1034,41.23333,415.886158674001,6010,10287,11539,28060,38,33112,75332,1162,316.785344100001,119752,50,73.02,69.65,100.23,NA
2020-2021,April,11,GUJARAT,1103,SURENDRANAGAR,18283,108.966380582737,20,3,0,140,447,2545,18293,1205,5987,157,1313,0.44616,20.37938,872,1364,52136,111248,0,103556,226705,2685,19.93322,6265,61,75.53,65.81,99.9,NA
2020-2021,April,11,GUJARAT,1116,BHARUCH,12199,90.8025247971145,11,8,0,105,461,1600,12199,536,1779,8990,34575,1.7469,12.8239,1076,1424,20284,45025,0,119637,253057,1705,11.077,5590,52,25.37,4.74,100,NA
2020-2021,April,11,GUJARAT,1119,DANG,32275,85.38949651433,14,32,0,160,37,2733,32275,7,52,31267,72395,12.1597,39.71916,2250,3252,33392,74149,0,46778,101070,2893,27.55946,14047,46,82.3,73.71,100,NA
2020-2021,April,11,GUJARAT,1122,ANAND,21773,50.8258218894962,11,7,0,79,290,1403,21773,1934,5473,853,1379,16.02927,27.0955762,1874,2605,40527,80715,0,197764,366156,1482,11.0663062,7341,83,86.43,24.58,100,NA
2020-2021,April,11,GUJARAT,1123,DOHAD,114570,268.769957493235,9,333,0,1898,121,52210,114570,750,6269,64315,388096,7.75912,315.6888603,12378,17962,241222,599806,0,473098,1163349,54108,307.9297403,48029,66,35.41,30.65,99.91,NA
2020-2021,April,11,GUJARAT,1127,Morbi,4886,10.6093204680764,13,0,0,4,333,777,4871,829,1296,164,80,0,0.51678,369,728,5597,14950,0,31825,81613,781,0.51678,2417,47,58.76,49.61,100,NA
2020-2021,April,11,GUJARAT,1128,Botad,15425,1.54152823920266,16,5,0.128,10,177,715,16555,445,2411,20,64,1.94248,2.32568,1010,1952,22721,64507,0,50135,141724,725,0.2552,7917,78,35.32,27.04,100,NA
2020-2021,June,11,GUJARAT,1105,AMRELI,524024,173.501683579154,33,168,12.1106497,77,372,1382,532841,82410,15582,1752,367,33.00262,969.6013755,16091,41494,32907,101802,71,106692,294448,1459,924.4881058,250922,57,94.65,91.67,99.98,NA
2020-2021,June,11,GUJARAT,1109,SABAR KANTHA,1105985,149.082398082892,32,144,57.23886621,263,42,7291,1078082,245492,27506,298016,54237,46.95928,1711.42864511,33647,53392,62284,149371,55,133722,313516,7554,1607.2304989,567900,79,77.39,75.8,99.99,NA
2020-2021,June,11,GUJARAT,1110,MAHESANA,259675,134.1356201113,30,20,120.550067119,453,110,1783,258760,14660,5152,15,25,26.66455,494.303947719,8350,10492,32616,55369,1,84708,154552,2236,347.0893306,87440,69,90.43,81.63,100.03,NA
2020-2021,June,11,GUJARAT,1116,BHARUCH,210297,170.571432212538,27,39,86.68099545,364,43,2062,210297,11838,1795,151998,34765,20.2704,465.65800025,7731,10556,20780,45540,32,120393,253918,2426,358.7066048,112598,47,42.32,65.28,100.28,NA
2020-2021,June,11,GUJARAT,1123,DOHAD,5329447,171.635765277336,34,3565,3387.178382233,5559,8,56223,5329447,45121,6325,3305425,414868,302.863,12837.278525733,152436,278390,258175,630040,315,497621,1206528,61782,9147.23714350001,2451309,63,91.89,82.03,99.94,NA
2020-2021,June,11,GUJARAT,1124,NARMADA,1381454,192.253926659882,23,797,2635.43732081501,4238,15,2682,1381454,22314,4513,1291258,194414,40.60539,5331.94227081502,60023,96315,86192,213204,58,123058,294098,6920,2655.89956,723176,43,81.33,82.03,100.31,NA
2020-2021,Feb,11,GUJARAT,1116,BHARUCH,443515,199.429415443978,36,43,195.86261979,1396,4,1580,389783,20859,1758,256700,34692,72.64597,1045.85054819,10642,14786,21082,45186,129,126116,260394,2976,777.3419584,198168,49,25.02,41.16,100.31,NA
2020-2021,Feb,11,GUJARAT,1123,DOHAD,8805009,203.730495118035,47,5280,6663.35115865699,45971,8,29735,9691588,79540,5890,5811869,390659,604.2185,27012.289875857,205131,368350,244477,586489,1665,500901,1182185,75706,19744.7202172,4439997,59,80.07,74.44,99.81,NA
2020-2021,Feb,11,GUJARAT,1125,NAVSARI  ,1425200,199.094697018696,34,160,315.378246982,2780,5,4334,1456443,12928,960,883478,72252,149.81237,3364.891395082,41708,47211,64134,98528,151,147212,225962,7114,2899.7007781,1103576,64,50.1,60.76,100,NA
2020-2021,Feb,11,GUJARAT,1127,Morbi,224607,161.041576132471,46,12,39.618929564,550,2,547,157620,20867,1400,866,65,21.49996,314.952621864,3384,7122,6188,15650,160,35308,86241,1097,253.8337323,74279,48,68.53,64.98,100,NA
2020-2021,Feb,11,GUJARAT,1128,Botad,628377,189.609614308518,34,59,166.40951185,563,11,415,669084,20921,2441,520,66,43.578,1478.63510365001,19529,43071,25921,70270,26,56174,152634,978,1268.64759180001,310597,67,82.19,79.6,101.89,NA
2020-2021,Feb,11,GUJARAT,1129,Chhotaudepur,2202703,215.82280218329,47,719,794.207473913999,9184,0,6482,2267953,42746,4499,1855535,181221,283.63878,5972.605970714,47933,74951,98366,214790,1109,221403,470995,15666,4894.7597168,877715,62,63.12,59.5,99.95,NA
2020-2021,Aug,11,GUJARAT,1103,SURENDRANAGAR,745927,171.930142937097,39,44,433.5252912,1211,133,1920,755787,45527,6584,6502,1312,55.47678,1788.4277406,19253,36541,54482,115083,325,107341,232920,3131,1299.4256694,306569,56,70.15,80.6,101.12,NA
2020-2021,Aug,11,GUJARAT,1107,KACHCHH,1351385,159.327768691903,44,57,122.338761281,277,120,1906,1351385,66321,5486,1817,218,68.27504,2343.74536821808,30142,45052,52332,97557,834,76943,144083,2183,2153.13156693708,664326,32,95.56,97.44,99.99,NA
2020-2021,Aug,11,GUJARAT,1122,ANAND,476334,156.236184032227,26,56,16.558268768,309,27,1393,489273,37828,5553,9730,1373,64.54824,845.527973468,18322,28672,41927,82740,58,199772,368877,1702,764.4214647,241020,81,90.42,89.15,100.07,NA
2020-2021,Aug,11,GUJARAT,1125,NAVSARI  ,778303,199.655144217612,23,113,156.224647598,1650,12,2993,778303,7098,957,485421,70358,88.64737,1798.793994698,32800,36323,61582,95740,20,138384,216488,4643,1553.9219771,575052,52,59.52,70.04,100,NA
2020-2021,Aug,11,GUJARAT,1130,ARVALLI,898171,167.654714472291,24,593,419.176523877,1173,7,4147,930295,46516,8213,233761,47356,56.44905,2035.308999877,37819,59228,71869,155443,26,128606,277127,5320,1559.683426,396448,75,88.54,74.39,99.98,NA
2020-2021,Aug,11,GUJARAT,1131,GIR SOMNATH,629373,184.281347664784,38,440,21.624426372,300,39,1232,629385,69913,6664,7042,1001,33.59463,1215.058216372,16354,40774,20707,62880,102,45986,132057,1532,1159.83916,318849,49,11.5,95.18,99.98,NA
2020-2021,March,11,GUJARAT,1110,MAHESANA,808353,211.598096532697,50,33,514.601236607,1910,42,1093,745219,50685,5398,979,40,88.35705,2179.827505607,14684,19909,33745,56968,149,98320,171796,3003,1576.869219,252341,69,71.99,71.54,100.03,NA
2020-2021,March,11,GUJARAT,1112,AHMADABAD,704776,199.679243843688,48,139,250.287749451,2246,18,1435,606938,38143,5125,4694,1716,75.24748,1537.464438451,12489,25187,23101,54700,393,117027,275005,3681,1211.929209,261128,65,49.87,66.69,100.07,NA
2020-2021,March,11,GUJARAT,1115,VADODARA,474060,196.988306790917,42,25,172.313979708,1175,45,2529,498887,30412,3313,79169,8344,72.15813,1227.221163808,11799,17170,23833,43845,281,122965,235491,3704,982.7490541,197440,25,35.39,61.39,100,NA
2020-2021,March,11,GUJARAT,1116,BHARUCH,500830,203.043873965233,38,45,410.927479499999,1611,4,1429,417123,22382,1757,271741,34686,80.18201,1338.0521879,10936,15211,21081,45178,141,126152,260432,3040,846.9426984,212287,50,24.52,40.47,100.3,NA
2020-2021,March,11,GUJARAT,1119,DANG,1072870,224.669061820833,58,195,127.393154964,2435,0,2099,1195859,1170,53,1162206,70908,121.8982,2936.016550964,20304,32890,33956,72652,702,47843,99829,4534,2686.725196,537673,38,88.34,92.46,100,NA
2020-2021,March,11,GUJARAT,1121,PORBANDAR,308163,158.16111568503,41,4,73.175527021,315,0,1060,272317,70910,6390,10347,1033,53.86808,557.743212421003,6552,11269,11557,28086,133,33171,75416,1375,430.699605400003,159050,50,67.13,64.08,100.17,NA
2020-2021,March,11,GUJARAT,1122,ANAND,704620,163.071677264441,33,61,86.690729524,1264,1,639,705494,50765,5541,11828,1364,101.32033,1338.471958324,21296,33208,42490,83289,233,201943,371054,1903,1150.4608988,348490,80,84.88,73.49,100.04,NA
2020-2021,May,11,GUJARAT,1101,JAMNAGAR,147162,69.0254784034992,28,17,84.4014835,23,242,1825,164610,28771,6295,817,333,20.63619,218.6605135,5708,11215,22677,53628,0,47063,111896,1848,113.62284,77719,68,91.96,87.94,100,NA
2020-2021,May,11,GUJARAT,1106,JUNAGADH,356192,77.7659661081664,30,419,14.60392075,43,297,1361,356192,104193,24310,22593,5193,30.00575,321.60582075,11660,27567,28794,86316,17,97531,276240,1404,276.99615,166320,58,87.05,92.83,99.99,NA
2020-2021,May,11,GUJARAT,1107,KACHCHH,454947,46.3035650086713,27,26,110.718050781,76,460,1766,454947,26556,5299,566,213,28.60704,349.981770681,16565,23929,50509,95183,4,73778,139789,1842,210.6566799,239768,32,90.95,95.03,99.99,NA
2020-2021,May,11,GUJARAT,1121,PORBANDAR,96847,74.0726677129906,23,2,4.320215485,0,84,423,96847,27930,6499,3002,1009,11.90363,87.961001985,4141,6995,11396,28177,0,32840,76211,423,71.7371565,58254,33,100,95.36,100,NA
2020-2021,May,11,GUJARAT,1122,ANAND,220569,87.1881118092039,18,36,11.407790896,154,153,1412,221556,19242,5485,6286,1376,32.49902,237.077303896,12283,18832,41337,82001,7,198814,367726,1566,193.170493,101591,81,88.74,86.42,100,NA
2020-2021,May,11,GUJARAT,1124,NARMADA,819926,133.750943377817,15,705,2625.72057081501,709,23,5686,819926,13370,4534,767397,195670,28.04154,3750.42087081502,52536,80593,86275,214579,6,123145,295590,6395,1096.65876,432294,41,77.52,77.22,100.22,NA
2020-2021,May,11,GUJARAT,1126,TAPI,656681,115.120242553081,14,623,311.278609017,129,46,2912,656681,10861,2496,609076,228709,28.98384,1096.235209017,44618,60109,102999,242438,4,191906,421261,3041,755.97276,351551,31,90.63,90.74,100.73,NA
2020-2021,Sep,11,GUJARAT,1111,GANDHINAGAR,254564,193.747717666284,29,22,208.987012701,527,73,1189,254564,6323,867,163,50,35.45118,737.650132701,8637,11706,20076,31290,14,44154,75714,1716,493.21194,102894,50,78.47,85.26,100.01,NA
2020-2021,Sep,11,GUJARAT,1118,VALSAD,571019,207.210469353909,23,2,28.0522796,1931,6,4044,571019,5333,1276,492814,104176,72.17222,1283.4356496,23804,30481,48748,117639,8,205154,485772,5975,1183.21115,326534,58,64.33,72.77,100,NA
2020-2021,Sep,11,GUJARAT,1131,GIR SOMNATH,632980,186.023115506442,38,442,22.824836372,463,23,1081,632995,70443,6490,7070,968,46.77196,1247.113816372,16423,40921,19994,59330,103,41962,117843,1544,1177.51702,320386,49,12.01,94.38,99.98,NA
2020-2021,Dec,11,GUJARAT,1101,JAMNAGAR,394977,188.297587472338,43,28,155.35198098,650,1,2167,432451,64442,6392,2163,335,60.83424,1030.48102098,9969,18962,23316,54147,167,49778,114479,2817,814.2948,182964,73,80.73,83.23,100.01,NA
2020-2021,Dec,11,GUJARAT,1126,TAPI,1257637,195.468861682663,21,794,577.590209964,2234,1,1339,1257637,20013,1849,1160149,218076,132.51083,3168.389767964,58184,81061,100736,229724,49,192892,412527,3573,2458.288728,670533,33,80.31,88.61,100.87,NA
2020-2021,Dec,11,GUJARAT,1128,Botad,601017,189.945343546314,33,58,165.20044185,467,17,494,652503,20445,2450,520,66,39.21249,1443.81199685001,19332,42659,25918,70464,22,56027,152552,961,1239.39906500001,303927,68,85.81,83.71,101.97,NA
2020-2021,Dec,11,GUJARAT,1131,GIR SOMNATH,642255,186.98415152506,38,442,39.217775292,749,20,867,642270,72169,6453,7340,962,61.21566,1301.376545292,16536,41216,20026,59330,107,47001,125147,1616,1200.94311,324572,50,13.25,92.92,100.04,NA
2020-2021,July,11,GUJARAT,1102,RAJKOT,295435,128.46015609504,33,136,105.829023226,471,364,1630,286364,28812,3766,1240,249,32.18298,505.875644626,8542,19208,18611,54290,5,110666,320911,2101,367.8636414,139499,70,91.94,84.87,99.97,NA
2020-2021,July,11,GUJARAT,1103,SURENDRANAGAR,703058,169.178964494385,38,43,433.5252912,980,147,2119,712676,43887,6540,6268,1312,41.46407,1680.6872382,18581,35447,54265,115010,273,106885,232530,3099,1205.697877,291715,57,73.66,78.92,100.81,NA
2020-2021,July,11,GUJARAT,1111,GANDHINAGAR,233136,193.405595875369,27,22,205.221612701,452,78,1084,233136,5774,868,157,50,25.4712,681.590882701,8343,11188,20037,31246,12,44016,75583,1536,450.89807,95674,46,80.84,85.31,100.01,NA
2020-2021,July,11,GUJARAT,1117,SURAT,777400,205.379756881914,21,70,414.257008013,1392,176,5084,777400,6970,2174,728279,163693,46.64915,2057.528388013,36949,48946,76495,175973,11,178597,387395,6476,1596.62223,355920,75,91.26,84.26,100,NA
2020-2021,July,11,GUJARAT,1124,NARMADA,1418261,197.266304290959,23,800,2675.00242096501,4703,13,2346,1418261,22542,4502,1326105,193230,52.60151,5525.35499086501,60223,96832,86025,211909,77,122764,292462,7049,2797.7510599,741277,43,80.73,82.47,100.36,NA
2020-2021,July,11,GUJARAT,1127,Morbi,156213,159.195736697886,41,11,25.384864864,84,6,837,122255,16312,1426,770,80,7.69254,227.702152764,2966,6252,6157,15987,16,32642,83110,921,194.6247479,59377,45,88.93,86.79,100,NA
2020-2021,July,11,GUJARAT,1132,DEVBHUMI DWARKA,242309,162.372246179749,37,73,85.886955065,91,64,2007,242327,35517,4572,5815,1204,30.11757,509.476318065001,6524,11765,21661,47726,20,47195,108805,2098,393.471793000001,113445,51,86.52,83.12,100.01,NA
2020-2021,Jan,11,GUJARAT,1105,AMRELI,564784,182.530023389267,33,168,34.57770795,692,148,1146,574195,93405,15167,1979,351,81.92322,1164.57919575,16903,43093,32761,98871,92,109307,295932,1838,1048.0782678,269258,55,91.49,86.46,100.02,NA
2020-2021,Jan,11,GUJARAT,1107,KACHCHH,1482776,156.441565851429,48,59,180.342028096,972,30,1332,1517911,73048,5437,2086,208,126.96733,2681.95309472708,31613,47452,49502,91144,1108,84793,150009,2304,2374.64373663108,754053,32,87.81,90.14,100.05,NA
2020-2021,Jan,11,GUJARAT,1111,GANDHINAGAR,276683,200.784869204402,30,22,261.416509701,790,34,992,277150,6871,868,169,50,51.66492,869.556694701,9004,12150,20147,31367,19,47610,78890,1782,556.475265,110160,51,76.75,82.8,100.01,NA
2020-2021,Jan,11,GUJARAT,1115,VADODARA,434901,192.079344243418,39,22,102.431180633,980,122,2518,442893,24992,3307,69749,8339,55.07254,1008.209690733,11134,16166,23673,43690,221,123112,236219,3498,850.7059701,175365,22,33.63,61.11,100,NA
2020-2021,Jan,11,GUJARAT,1120,PATAN,920208,162.240252246571,38,411,366.331697905,2955,27,1028,926078,109185,14469,22176,2874,109.87891,1978.681891105,24015,42573,50011,131001,241,214626,506540,3983,1502.4712832,390039,89,75.67,72.74,100,NA
2020-2021,Jan,11,GUJARAT,1125,NAVSARI  ,1319880,196.96149958513,33,158,313.193836982,2644,9,4352,1323306,12435,960,790275,72094,140.66714,3060.264318682,39927,44856,63977,98341,106,146925,225632,6996,2606.4033417,1007937,64,48.66,60.36,100,NA
2020-2021,Jan,11,GUJARAT,1128,Botad,608343,188.570384587487,34,59,165.57171185,494,15,481,661748,20668,2447,520,66,42.58389,1456.01635045001,19457,42922,25923,70326,26,56152,152633,975,1247.86074860001,307556,67,83.64,81.43,101.92,NA
2020-2021,Jan,11,GUJARAT,1133,MAHISAGAR,1434073,172.311280288282,38,522,839.077403377,3892,9,2948,1451634,61931,6538,446865,57476,133.64966,3474.05619387699,38049,63339,63898,150079,227,148998,331637,6840,2501.3291305,583425,46,66.3,74.89,100.19,NA
2020-2021,Aug,11,GUJARAT,1102,RAJKOT,300917,131.161612000686,33,136,107.440523226,583,352,1551,291650,29282,3544,1260,233,45.6433,535.616664626,8642,19379,18164,52395,6,108002,311247,2134,382.5328414,141657,69,90.1,83.13,99.97,NA
2020-2021,Aug,11,GUJARAT,1105,AMRELI,540926,179.823616074921,33,168,18.6707995,205,226,1468,549701,86411,15567,1817,367,45.03453,1052.1975453,16517,42312,32944,101314,83,106883,294138,1673,988.4922158,257872,54,92.55,89.78,100.01,NA
2020-2021,Aug,11,GUJARAT,1115,VADODARA,327886,188.860890803809,34,18,55.6408744,288,200,2699,327951,17655,3322,50910,8493,36.47558,711.4876344,9459,13617,23333,43637,85,113294,225746,2987,619.37118,131671,17,34.67,56.53,100.01,NA
2020-2021,Aug,11,GUJARAT,1118,VALSAD,549568,203.073390335682,23,2,28.0522796,1557,8,4348,549568,5020,1276,474375,104201,69.70288,1213.7815294,23588,30110,48751,117666,5,204929,485570,5905,1116.0263698,316208,58,65.99,73.6,100,NA
2020-2021,Aug,11,GUJARAT,1120,PATAN,782076,153.965596438198,34,391,183.0215349,1073,47,2680,782076,100072,14507,18904,2883,62.14938,1449.2988929,22503,40074,49881,131081,103,210488,501038,3753,1204.127978,344061,89,73.07,80.48,99.99,NA
2020-2021,July,11,GUJARAT,1105,AMRELI,533817,178.816308192999,33,168,16.4515995,116,271,1489,542634,84925,15563,1787,367,38.58586,1025.3555453,16388,42075,32971,101448,76,106906,294345,1605,970.3180858,255056,55,93.5,90.52,100,NA
2020-2021,July,11,GUJARAT,1109,SABAR KANTHA,1168473,178.995383820261,33,149,67.89282099,604,27,7156,1138671,257690,27403,313125,53949,54.19101,2160.25235789,34500,54890,62190,148036,62,133753,312389,7760,2038.1685269,594627,78,76.92,73.69,99.99,NA
2020-2021,July,11,GUJARAT,1110,MAHESANA,343826,181.698726096443,34,27,131.361880821,550,85,1841,342836,19385,5219,45,25,31.2473,785.537825421,9868,12692,32752,55595,3,84947,154937,2391,622.9286446,118039,69,88.9,83.01,100.03,NA
2020-2021,July,11,GUJARAT,1122,ANAND,462307,153.953778863999,26,56,16.558268768,281,28,1355,475246,35767,5561,9645,1374,46.80551,795.022954667999,17938,28079,41878,82734,53,199448,368579,1636,731.659175899999,235963,80,90.67,90.78,100.07,NA
2020-2021,July,11,GUJARAT,1123,DOHAD,6211020,196.559631455059,38,3811,4336.373495433,18516,8,45683,6211020,52281,6179,3775111,410885,328.84331,16873.574827033,163380,296160,257177,623046,502,496634,1198735,64199,12208.3580216,2845823,61,88.65,79.73,99.94,NA
2020-2021,March,11,GUJARAT,1104,BHAVNAGAR,2007702,195.314204046872,40,474,79.02052662,641,169,1518,1883366,57431,5742,7374,712,121.9883,3879.4901388094,46923,123497,55997,160123,429,100448,274170,2159,3678.4813121894,887487,58,87.57,93.17,100.07,NA
2020-2021,March,11,GUJARAT,1114,PANCH MAHALS,4073917,219.764628117043,51,260,8765.36326243791,17980,16,21404,4004916,136405,9347,682933,46634,635.08828,18201.8402962379,78273,120114,119488,237466,986,258396,484364,39384,8801.38875379996,1646876,78,57.53,49.89,100.27,NA
2020-2021,March,11,GUJARAT,1120,PATAN,1004666,167.044348852693,40,420,444.895157868,3397,25,756,1006270,116665,14449,24690,2863,131.79876,2257.611087068,24877,44101,50023,130869,354,215037,507092,4153,1680.9171692,421195,89,76.48,70.41,100.02,NA
2020-2021,March,11,GUJARAT,1126,TAPI,1613020,196.737220730429,24,897,613.313580909,2404,0,2964,1546982,22443,1845,1434009,218008,181.05521,3837.858182909,64098,90222,100872,229650,84,194155,413960,5368,3043.489392,829080,52,77.05,88.15,101.24,NA
2020-2021,March,11,GUJARAT,1128,Botad,656327,182.700145176976,35,73,190.91436923,622,4,466,710581,21814,2441,534,66,46.143,1535.28988783001,20040,44515,25962,70319,34,56329,152861,1088,1298.2325186,330692,68,81.72,78.94,101.83,NA
2020-2021,March,11,GUJARAT,1129,Chhotaudepur,2350861,221.007289239539,48,730,1589.526548715,9828,0,6613,2377296,44681,4499,1941684,181187,326.87337,7170.397365515,48891,76404,98372,214743,1242,221694,471461,16441,5253.9974468,917043,63,61,57.23,99.94,NA
2020-2021,March,11,GUJARAT,1133,MAHISAGAR,1603198,177.486355522464,40,529,1066.069742344,4222,6,3275,1602301,70081,6523,504260,57441,161.26722,4071.202611744,39700,66444,63991,149997,281,149453,331190,7497,2843.8656494,641657,48,66.25,73.65,100.19,NA
2020-2021,Dec,11,GUJARAT,1103,SURENDRANAGAR,976846,176.764416554372,43,52,575.025135572,2354,52,1019,987727,53977,6656,7323,1307,92.44544,2413.420444272,22621,42107,55156,115943,726,113987,240632,3373,1745.9498687,389064,57,60.9,76.66,101.05,NA
2020-2021,Dec,11,GUJARAT,1109,SABAR KANTHA,1417813,178.003659136238,36,160,132.107153991,2706,0,5575,1376814,298432,27423,355241,54063,144.53931,2727.425763491,37590,60565,63066,149026,301,151037,331940,8281,2450.7792995,708726,78,72.19,66.95,100,NA
2020-2021,Dec,11,GUJARAT,1111,GANDHINAGAR,270058,199.474794303446,30,22,260.757009701,773,38,995,270058,6682,868,169,50,48.8375,848.292149701,8928,12056,20123,31339,19,46864,78082,1768,538.69764,107790,51,75.58,82.6,100,NA
2020-2021,Dec,11,GUJARAT,1113,KHEDA,470812,200.038423422538,24,57,124.065990877,2703,45,2006,457935,8596,1891,2354,500,77.7936,1117.905545177,18624,26242,50216,99816,42,146604,309655,4709,916.045954299998,170149,72,80.85,82.02,101.06,NA
2020-2021,Dec,11,GUJARAT,1115,VADODARA,413844,190.187947133307,38,21,98.093911833,884,157,2512,413909,22568,3295,65282,8331,50.56572,935.864661933,10673,15521,23568,43534,206,122850,235826,3396,787.2050301,164988,22,33.08,61.37,100,NA
2020-2021,Dec,11,GUJARAT,1116,BHARUCH,313450,194.264983506141,32,43,187.29090409,1335,4,1454,313450,17378,1754,217991,34577,61.25342,857.46791489,9519,13211,20917,45004,92,125673,259881,2789,608.9235908,160298,48,32.1,57.68,100.34,NA
2020-2021,Dec,11,GUJARAT,1121,PORBANDAR,172094,148.270917268068,30,3,51.262931722,177,2,854,172098,48273,6399,5676,1024,41.23333,347.667544922,5563,9427,11485,27997,10,33007,75201,1031,255.1712832,99956,48,76.05,73.11,100.28,NA
2020-2021,Dec,11,GUJARAT,1124,NARMADA,1902923,191.006989242339,29,862,2857.21595156301,7069,8,1896,1902923,29533,4444,1767900,184920,128.44079,6620.37267146301,64881,106848,85581,203092,420,120627,277731,8965,3634.7159299,980722,50,78.37,82.91,100.35,NA
2020-2021,Sep,11,GUJARAT,1101,JAMNAGAR,319765,182.846340679056,42,23,94.6930553,504,8,1961,354492,59845,6377,2002,335,48.56032,791.4290253,8321,16573,22980,53918,139,47393,111910,2465,648.17565,160868,72,86.89,87.73,100.01,NA
2020-2021,Sep,11,GUJARAT,1102,RAJKOT,315365,133.856497530457,34,136,108.562173226,660,323,1569,305927,31038,3485,1376,222,50.96979,569.035130426,8965,20006,18084,51728,9,107257,308278,2229,409.5031672,147396,68,83.5,79.52,99.97,NA
2020-2021,Sep,11,GUJARAT,1107,KACHCHH,1365179,160.619173876618,45,57,122.338761281,592,89,1611,1365179,67731,5475,1837,218,78.33856,2393.41655301808,30298,45266,52227,97242,850,76873,143815,2203,2192.73923173708,671515,32,95.21,97.31,99.99,NA
2020-2021,Sep,11,GUJARAT,1108,BANAS KANTHA,1517172,186.352290043581,37,456,163.996644417,5593,160,5699,1517172,359428,32729,151928,23275,177.11668,3168.398090317,40509,65928,88430,174736,172,167657,331964,11292,2827.2847659,682591,77,75.3,70.29,100.11,NA
2020-2021,Sep,11,GUJARAT,1110,MAHESANA,436407,195.754461659392,38,29,137.370680821,908,65,1698,435087,26849,5298,45,25,49.96894,1039.041835421,11218,14666,33113,56099,12,85364,155546,2606,851.7022146,150315,68,77.11,81.98,100.03,NA
2020-2021,Sep,11,GUJARAT,1115,VADODARA,346847,191.093588575777,35,19,56.6161744,402,184,2690,346912,18701,3279,54805,8384,41.84161,761.3843744,9781,14112,23258,43210,92,113198,225263,3092,662.92659,138946,17,33.48,58.09,100,NA
2020-2021,Sep,11,GUJARAT,1124,NARMADA,1521063,196.404618342567,24,817,2675.14242096501,5181,10,3224,1521063,23591,4464,1420528,187186,89.47731,5752.05771086502,61562,99600,85609,205458,133,121168,282448,8405,2987.4379799,786588,49,78.83,83.29,100.4,NA
2020-2021,Sep,11,GUJARAT,1126,TAPI,1195717,194.667226275113,20,783,445.336206619,1893,2,1542,1195717,19419,1845,1101365,218046,88.6753,2861.680624619,57091,79536,100451,229687,49,189667,408702,3435,2327.669118,638880,31,82.66,88.54,100.59,NA
2020-2021,Sep,11,GUJARAT,1133,MAHISAGAR,1199465,160.338108364979,33,509,279.471793228,2527,12,3623,1199465,48185,6529,393213,57675,82.35808,2285.029364728,35348,58309,63498,149825,99,132815,313004,6150,1923.1994915,485262,46,72.66,80.75,100.12,NA
2020-2021,Nov,11,GUJARAT,1108,BANAS KANTHA,1690726,191.471564718352,40,459,662.459955848001,6229,152,5488,1690726,416320,33285,159474,23321,236.39837,4136.117853148,42236,68913,88361,173539,309,168584,332170,11717,3237.2595273,770497,77,77.3,72.24,100.11,NA
2020-2021,Nov,11,GUJARAT,1112,AHMADABAD,556091,192.24522289054,45,128,146.790665869,1542,86,1760,504418,32061,5108,4272,1729,54.47694,1170.987114269,11134,22776,22896,54724,221,116493,274780,3302,969.719508400004,218877,65,50.83,70.9,100.06,NA
2020-2021,Nov,11,GUJARAT,1123,DOHAD,7617522,207.325429954781,42,4282,6015.524618539,36814,8,31747,7617522,64736,5866,4500919,386736,476.91077,22285.495626939,177753,322370,241198,580821,875,486560,1160403,68561,15793.0602384,3481071,61,80.83,78.41,99.92,NA
2020-2021,Nov,11,GUJARAT,1124,NARMADA,1643070,197.205263920588,26,833,2826.18855156301,6693,8,1842,1643070,25993,4449,1530043,185537,116.38571,6182.79479146301,62579,101868,85510,203738,240,120357,278371,8535,3240.2205299,848037,50,77.76,82.55,100.38,NA
