pc11_district_id,pc11_state_id,secc_cons_urban,secc_cons_pc_urban,secc_pov_rate_urban,secc_pov_rate_tend_urban,_mean_p_miss,_core_p_miss,_target_weight_share,_target_group_max_weight_share
077,06,145539.78758899032,29459.743239770673,0.07024106435754418,0.0880957028537162,0.0183354440528431,0.0183354440528431,1.0,1.0
078,06,145042.59860548237,29213.87007286134,0.07965928786790932,0.1008340965752621,0.0433659264538832,0.0433659264538832,1.0,1.0
079,06,148674.4218382437,30286.76312730914,0.07405227017218075,0.09200608451598524,0.0,0.0,1.0,1.0
080,06,152585.61850254133,31463.558902792647,0.052411737247081605,0.06740104903164372,0.0570382736391754,0.0570382736391754,1.0,1.0
081,06,138395.39993638863,28171.43106977463,0.0755793593113436,0.09845052961837546,0.0484218323052887,0.0484218323052887,1.0,1.0
082,06,154956.10428884826,31387.961781802245,0.05800267714988064,0.0736527596184335,0.0,0.0,1.0,1.0
083,06,143519.644260832,34644.546112755845,0.048806821535633066,0.06329079373576171,0.0337553782994094,0.0337553782994094,1.0,1.0
084,06,137123.4710393842,26355.101970573465,0.07958673809000544,0.10132669217659976,0.0642655526702042,0.0642655526702042,1.0,1.0
085,06,150983.14012898653,31195.33466148354,0.03618373895423387,0.05134755613127652,0.1854474574819004,0.1854474574819004,1.0,1.0
086,06,182227.33275706597,45065.84800341768,0.023331130436709882,0.031174265620952258,0.0617364497871437,0.0617364497871437,1.0,1.0
087,06,122759.69319778448,21584.01747759797,0.19687970871518812,0.23846954640218268,0.2881649557636214,0.2881649557636214,1.0,1.0
088,06,156575.78125,42765.5234375,0.035436321049928665,0.047366928309202194,0.0172394021635258,0.0172394021635258,1.0,1.0
089,06,149736.8051859689,27505.52483187987,0.10471793996664458,0.12767065561267665,0.120421570616883,0.120421570616883,1.0,1.0
090,07,170655.37755842437,38904.76844294451,0.027718498047829575,0.036117268982636584,0.0,0.0,0.210312801123643,0.210312801123643
091,07,170655.37755842437,38904.76844294451,0.027718498047829575,0.036117268982636584,0.0,0.0,0.0531637466881553,0.210312801123643
092,07,170655.37755842437,38904.76844294451,0.027718498047829575,0.036117268982636584,0.0,0.0,0.1356289754124575,0.210312801123643
093,07,170655.37755842437,38904.76844294451,0.027718498047829575,0.036117268982636584,0.0,0.0,0.1042107963400592,0.210312801123643
094,07,170655.37755842437,38904.76844294451,0.027718498047829575,0.036117268982636584,0.0,0.0,0.0086752322193447,0.210312801123643
095,07,170655.37755842437,38904.76844294451,0.027718498047829575,0.036117268982636584,0.0,0.0,0.0355747811749586,0.210312801123643
096,07,170655.37755842437,38904.76844294451,0.027718498047829575,0.036117268982636584,0.0,0.0,0.1549782303623475,0.210312801123643
097,07,170655.37755842437,38904.76844294451,0.027718498047829575,0.036117268982636584,0.0,0.0,0.1313027834065076,0.210312801123643
098,07,170655.37755842437,38904.76844294451,0.027718498047829575,0.036117268982636584,0.0,0.0,0.1661526532725261,0.210312801123643
099,08,132145.02630718888,27716.402673828103,0.11378773049654758,0.13717773167581807,0.1583525078814863,0.1583525078814863,1.0,1.0
100,08,120859.15039031292,24032.757980134906,0.1547522742969062,0.18707047807805902,0.0,0.0,1.0,1.0
101,08,137312.33918638155,25458.82949869659,0.11946560920250823,0.14707582794828705,0.0268808471933471,0.0268808471933471,1.0,1.0
102,08,103325.40475243772,18246.11288918054,0.27068347434119644,0.31898147042028624,0.2580301439516863,0.2580301439516863,1.0,1.0
103,08,118233.14990262152,21748.15580328214,0.1695550586781369,0.20952009302386596,0.1409588226033012,0.1409588226033012,1.0,1.0
104,08,142191.5038791576,29537.270383432427,0.08013228149069175,0.10182527874073778,0.1377047326690615,0.1377047326690615,1.0,1.0
105,08,125415.45780876648,23970.405309644928,0.1452799657851235,0.17817292095331536,0.0118481354234204,0.0118481354234204,1.0,1.0
106,08,106591.2299008455,20029.27287273635,0.2632171390066995,0.3050223752700919,0.0726934734289755,0.0726934734289755,1.0,1.0
107,08,107772.15129590027,20332.963493880063,0.218454447569446,0.265823843703585,0.0307925081955938,0.0307925081955938,1.0,1.0
108,08,117238.3387187573,22638.043464601564,0.17142345724553953,0.20489603344547525,0.0985900693143991,0.0985900693143991,1.0,1.0
109,08,123944.2848704557,23597.586211148453,0.1576214461299049,0.19011807749187246,0.1823948303459486,0.1823948303459486,1.0,1.0
110,08,164388.0817159008,33482.84866883242,0.03794711782318632,0.050305353300490206,0.0299460200867146,0.0299460200867146,1.0,1.0
111,08,119919.55063852067,21418.063941705263,0.17844570099875773,0.21723797102880293,0.183968916527056,0.183968916527056,1.0,1.0
112,08,112303.16609443189,20859.66332488261,0.21956396175450255,0.25843164112258693,0.1737732343174242,0.1737732343174242,1.0,1.0
113,08,141599.44603482122,27271.610737049938,0.10324060383179842,0.12763120170910075,0.0649281124517046,0.0649281124517046,1.0,1.0
114,08,112962.59132696223,23447.638116312133,0.19952805002262602,0.23639435089996977,0.0,0.0,1.0,1.0
115,08,126975.6560112607,25513.07924662168,0.12021521779784484,0.14772523709547142,0.0611316728718578,0.0611316728718578,1.0,1.0
