State,District,lgd_district_code,pc11_district_id,pc11_state_id,female_literacy_pct,scst_pct,agri_worker_pct,total_population,total_households,poverty_rate,poverty_log,night_lights_log,state_key,district_key,district_merge,wage_timeliness_pct,avg_days_per_hh,women_pct,persondays_per_hh
Bihar,Banka,190,225,10,38.68862149824881,16.62552346391201,49.06374549916198,2034763,381601,0.3312425751878111,0.2861127731363349,0.6491068060081424,BIHAR,BANKA,BANKA,100.0,33.416666666666664,56.76038148320507,33.84679930829417
Bihar,Begusarai,191,222,10,44.91941939480255,14.605656006767791,38.12669923337012,2970541,589667,0.3200561234793783,0.2776742534818318,1.2215677402947789,BIHAR,BEGUSARAI,BEGUSARAI,100.0,31.13888888888889,65.30922772501305,31.523270062704583
Bihar,Bhagalpur,192,224,10,44.68009701125727,12.69844352724996,34.924521978772916,3037766,564711,0.2952875070426348,0.2587326836705622,1.0563899843269136,BIHAR,BHAGALPUR,BHAGALPUR,99.98166666666668,34.416666666666664,49.54293080695238,34.827268098719955
Bihar,Bhojpur,193,231,10,48.201231561439016,16.10386573557391,35.99819534422247,2728407,416090,0.3266756384861872,0.2826762932834004,1.0070927263459195,BIHAR,BHOJPUR,BHOJPUR,100.0,31.13888888888889,43.00208894758535,31.630693597060738
Bihar,Buxar,194,232,10,48.420711776386135,16.324943505208772,34.787108084992404,1706352,261660,0.2856194097744247,0.2512406331604435,0.9365554837358488,BIHAR,BUXAR,BUXAR,100.0,29.944444444444443,37.502418101909534,30.467457924074047
Bihar,Darbhanga,195,215,10,36.80913756847104,15.70737939012822,41.2285823282245,3937385,803012,0.3134865293744647,0.2726850745708576,0.9771699909466186,BIHAR,DARBHANGA,DARBHANGA,100.0,32.52777777777778,60.37715107691801,33.027602910751234
Bihar,Gaya,196,236,10,43.711750277195776,30.455971169221424,40.90552967706893,4391418,688425,0.2919731355918452,0.2561706122586664,0.9818905221220126,BIHAR,GAYA,GAYA,100.0,31.416666666666668,55.870709502644786,31.948542474544904
Bihar,Gopalganj,197,217,10,45.512791788285355,14.866089620189133,29.901600337087007,2562012,413044,0.3149936381059283,0.2738318276757651,0.9830894502706,BIHAR,GOPALGANJ,GOPALGANJ,100.0,28.583333333333332,44.408190060118,29.146951223996172
Bihar,Jamui,198,238,10,38.3971641789277,21.667854840221427,40.33393809840306,1760405,307082,0.3409951921847149,0.2934120190468169,0.6400430572317187,BIHAR,JAMUI,JAMUI,99.99472222222222,33.72222222222222,55.004816016322074,34.299977115419225
Bihar,Jehanabad,199,239,10,45.294600458376486,19.928588757083585,43.36525090388971,1125313,181740,0.360144744230084,0.3075911236656787,1.2634456354637282,BIHAR,JEHANABAD,JEHANABAD,100.0,37.19444444444444,46.34322718352732,37.6759088354328
Bihar,Kaimur (Bhabua),200,233,10,47.51904724023516,26.25880480870446,40.852848801669445,1626384,250884,0.2772078549213256,0.2446763319502307,0.6048828632297459,BIHAR,KAIMUR (BHABUA),KAIMUR (BHABUA),100.0,33.083333333333336,43.12910552701977,33.52921689338041
Bihar,Katihar,201,212,10,35.21925419505929,14.427444351714032,59.9044041210182,3071029,619076,0.3208498216789554,0.2782753337474346,0.6833210260833876,BIHAR,KATIHAR,KATIHAR,99.99944444444444,32.666666666666664,60.361304299623235,33.17102776800084
Bihar,Khagaria,202,223,10,39.18720469927212,14.86820334443987,47.59878935494298,1666886,328823,0.3311814294218718,0.2860668407334988,0.7139505893666154,BIHAR,KHAGARIA,KHAGARIA,100.0,29.61111111111111,68.89141459647165,30.07514327024202
Bihar,Kishanganj,203,210,10,37.05658040149133,10.491126360624705,57.30796845084492,1690400,338445,0.3694228277486843,0.3143893574568471,0.5539430059903538,BIHAR,KISHANGANJ,KISHANGANJ,100.0,36.97222222222222,55.18525945651005,37.49535002100693
Bihar,Lakhisarai,204,227,10,42.58366047365282,16.139480793516313,39.83186866535227,1000912,163355,0.3638204054253693,0.3102898831756253,0.8497803303976846,BIHAR,LAKHISARAI,LAKHISARAI,99.83055555555556,32.111111111111114,52.927812762730696,32.65623649589727
Bihar,Madhepura,205,213,10,33.21211524172529,17.924558463993222,53.86205854699024,2001762,401289,0.3292232683232119,0.2845947628545709,0.9142166459923604,BIHAR,MADHEPURA,MADHEPURA,100.0,33.138888888888886,54.210533966697454,33.580956597001155
Bihar,Madhubani,206,207,10,37.77701886781961,13.173569694024062,52.615746710474255,4487379,898515,0.3242852115910583,0.2808728509255508,0.9238352723401672,BIHAR,MADHUBANI,MADHUBANI,100.0,29.52777777777778,63.14039746578789,30.064383230556253
Bihar,Munger,207,226,10,51.36428253831076,15.006232795838468,32.640251583105545,1367765,263171,0.2633914981936179,0.2337997701528857,0.8707318453079875,BIHAR,MUNGER,MUNGER,100.0,32.77777777777778,51.60323975786782,33.300628945595605
Bihar,Muzaffarpur,208,216,10,44.95648903814054,15.787215411923444,40.24007364572714,4801062,945703,0.2366172867930994,0.2123796573371169,1.1823818517852638,BIHAR,MUZAFFARPUR,MUZAFFARPUR,100.0,31.22222222222222,53.55823355057099,31.761908266535823
Bihar,Nalanda,209,229,10,43.48674808578632,21.16704133542161,46.27322528271176,2877653,477529,0.3593874636718637,0.3070342039310323,1.0874821317572847,BIHAR,NALANDA,NALANDA,100.0,37.77777777777778,54.74260758540974,38.28486096520502
Bihar,Nawada,210,237,10,40.162571965177506,25.557444169964484,41.62777846606451,2219146,338247,0.3791143057080263,0.3214414856645886,0.8041985978622522,BIHAR,NAWADA,NAWADA,100.0,32.861111111111114,53.620996827773666,33.303196224925685
Bihar,Pashchim Champaran,211,203,10,35.66057893242658,20.431548125788744,58.27540549486925,3935042,710461,0.3077015184572906,0.2682710300960372,0.557117164490218,BIHAR,PASHCHIM CHAMPARAN,PASHCHIM CHAMPARAN,100.0,30.0,55.10355740411113,30.41713334445294
Bihar,Patna,212,230,10,51.87160795854132,15.928621649697307,29.1474235141661,5838465,975578,0.293093460518873,0.257037379094657,1.5852308295653803,BIHAR,PATNA,PATNA,100.0,31.75,51.62308155102654,32.17345511893996
Bihar,Purbi Champaran,213,204,10,35.95102395951967,12.985660388310638,54.30746590936176,5099371,981516,0.2926225144981236,0.2566731116882542,0.9360518683677728,BIHAR,PURBI CHAMPARAN,PURBI CHAMPARAN,100.0,32.833333333333336,58.93153488553034,33.25711068582066
Bihar,Purnia,214,211,10,33.672917216366216,16.249400006555128,61.12598775092255,3264619,647777,0.3316670995382292,0.2864316156100724,0.844722786187544,BIHAR,PURNIA,PURNIA,100.0,30.333333333333332,60.62625969490188,30.833443146202185
Bihar,Rohtas,215,234,10,52.10841502091258,19.635543957636663,31.8056039480937,2959918,460345,0.298361387695078,0.2611029984019575,0.8723904322959712,BIHAR,ROHTAS,ROHTAS,100.0,27.61111111111111,38.691999764202066,28.149519268195863
Bihar,Saharsa,216,214,10,33.052163451161995,17.007662071247847,42.87389286756246,1900661,368979,0.3378376246762553,0.2910545975975074,0.9165923607498976,BIHAR,SAHARSA,SAHARSA,100.0,33.77777777777778,56.220188213089365,34.16562083478427
Bihar,Samastipur,217,221,10,41.80549655609991,18.890051215914525,46.348876445974525,4261566,835493,0.2790573350339668,0.246123349609135,0.9909835921526794,BIHAR,SAMASTIPUR,SAMASTIPUR,100.0,34.44444444444444,59.86308548097499,34.891004706142056
Bihar,Saran,218,219,10,45.18758284556938,12.926868397732513,31.57501099868016,3951862,631097,0.3260848282112639,0.282230862727488,1.069020353667294,BIHAR,SARAN,SARAN,99.92,37.111111111111114,48.11654413262213,37.56310141523936
Bihar,Sheikhpura,219,228,10,43.132886930485746,20.701446706330874,44.22169970676072,636342,100701,0.3882996702185018,0.3280797395151943,1.0215693955571268,BIHAR,SHEIKHPURA,SHEIKHPURA,100.0,35.166666666666664,49.81284691683008,35.59853985170222
Bihar,Sheohar,220,205,10,36.19598608405772,14.77692816413357,59.58317610519288,656246,150144,0.2459822521803743,0.2199241764278413,1.052301800779868,BIHAR,SHEOHAR,SHEOHAR,100.0,33.77777777777778,52.0471154008879,34.316212804727016
Bihar,Sitamarhi,221,206,10,34.042986517494676,11.937904657530405,51.87482169987195,3423574,736322,0.2600122507402823,0.2311214437258683,0.93946210257893,BIHAR,SITAMARHI,SITAMARHI,100.0,29.88888888888889,56.76611036394939,30.29519682377472
Bihar,Siwan,222,218,10,49.18942788759519,14.222792980197354,24.28977026816474,3330464,535661,0.3143547136396194,0.2733458331300364,0.9498122268399034,BIHAR,SIWAN,SIWAN,100.0,29.916666666666668,42.73070246762154,30.464316450651967
Bihar,Supaul,223,208,10,35.911111359451965,16.34834343916493,53.24289271742879,2229076,443073,0.3278470488228859,0.2835588703420464,0.8332780824578034,BIHAR,SUPAUL,SUPAUL,100.0,31.86111111111111,60.28905608071126,32.31822644041781
Bihar,Vaishali,224,220,10,46.90521458527973,21.181703915369894,39.89268246355478,3495021,626087,0.3456190685012498,0.2968541811388512,1.2066813571707802,BIHAR,VAISHALI,VAISHALI,100.0,31.0,64.21211560033409,31.482619068629024
Chandigarh,Chandigarh,44,55,4,71.63043638515798,18.86266521388981,0.3617245659175651,1055450,241173,0.0550314368911984,0.0535705644852141,3.1416130557496555,CHANDIGARH,CHANDIGARH,CHANDIGARH,,,,
Chhattisgarh,Bastar,374,414,22,37.57149733039322,68.62041368554605,21.138026057179907,1413199,311538,0.3224718778335183,0.2795026201261311,0.2352959886300603,CHHATTISGARH,BASTAR,BASTAR,99.95972222222224,37.861111111111114,48.87476614525778,38.31778788121842
Chhattisgarh,Bijapur,636,417,22,25.949102056618234,83.96779375465266,15.195131096945396,255230,54757,0.4096909385377659,0.343370487837477,0.0364441323729372,CHHATTISGARH,BIJAPUR,BIJAPUR,99.99972222222222,44.111111111111114,48.70448237858856,44.632450670132215
Chhattisgarh,Bilaspur,375,406,22,50.61418919176407,39.47475417935456,37.65642996099535,2663629,600822,0.3538156032247338,0.3029269785280453,0.8432059991998367,CHHATTISGARH,BILASPUR,BILASPUR,99.9986111111111,41.27777777777778,50.945262565182695,41.86097676560118
