State,District,lgd_district_code,pc11_district_id,pc11_state_id,female_literacy_pct,scst_pct,agri_worker_pct,total_population,total_households,poverty_rate,poverty_log,night_lights_log
Assam,Goalpara,287,302,18,52.39032433404528,27.44184339549467,14.08122353365168,1008183,198454,0.3819181732228438,0.3234725146365846,0.533980367685888
Assam,Golaghat,288,313,18,62.11041248589437,16.315020883166742,7.574046677334621,1066888,227197,0.202175600825929,0.184132915980211,0.6860755777464425
Assam,Hailakandi,289,318,18,56.16883318917506,10.822149686938795,10.725636074167792,659296,143350,0.3921192931474686,0.3308272573404627,0.2392267370922795
Assam,Jorhat,290,312,18,67.71749422449487,20.932455395072218,5.958037414915765,1092256,236262,0.1968474008806816,0.1796909338046018,0.2879304944275716
Assam,Kamrup,291,321,18,60.223439650051894,19.100954042787613,9.99919286684202,1517542,311114,0.2260594548336255,0.2038053313085074,0.4399492971268706
Assam,Kamrup Metro,618,322,18,76.51714430373066,14.108353044568393,1.999012474767278,1253938,293112,0.1439608496173577,0.1344966700095581,1.369525866835772
Assam,Karbi Anglong,292,314,18,52.12122382257919,61.03639707919897,7.906496418178607,956313,177646,0.3033076812590249,0.2649054032370272,0.1469278286641297
Assam,Kokrajhar,294,300,18,49.30141834988727,34.74471956011552,11.662123187546916,887142,181081,0.2502617277834092,0.2233529116235381,0.3161494227791821
Assam,Lakhimpur,295,307,18,60.089021061032696,31.787183450928236,5.697396775683959,1042137,204307,0.2719970894066279,0.2405881767129759,0.1740810009996547
Assam,Marigaon,296,304,18,53.14759586381518,26.59409686209753,15.3348303240244,957423,184602,0.2960142782558931,0.2592936150421513,0.3568032163953943
Assam,Nagaon,297,305,18,56.97198437734715,13.51042295259384,14.646261937188518,2823768,559340,0.2963882612187157,0.2595821373373754,0.4409640494502885
Assam,Nalbari,298,323,18,63.51598501729081,10.831489854711856,9.962240754575069,771639,155248,0.2275962117071837,0.2050579578244888,0.2725948776585703
Assam,Sivasagar,300,311,18,65.63112947952598,7.939359715042787,4.391910957830381,1151050,248367,0.1816001340556196,0.1668695656876498,0.6289294597987931
Assam,Sonitpur,301,306,18,51.90851792054082,17.73999407518281,9.135718443558858,1924110,392919,0.2471815522794822,0.2208862473430909,0.336132794387798
Assam,Sribhumi,293,317,18,59.61212430866824,13.008205513857892,12.480912908327426,1228686,247714,0.4378199110909294,0.3631280157753564,0.4141815447802522
