State,District,lgd_district_code,pc11_district_id,pc11_state_id,female_literacy_pct,scst_pct,agri_worker_pct,total_population,total_households,poverty_rate,poverty_log,night_lights_log,state_key,district_key,district_merge,wage_timeliness_pct,avg_days_per_hh,women_pct,persondays_per_hh,district_nfhs,STUNTING_NFHS4,WASTING_NFHS4,UNDERWEIGHT_NFHS4,ANEMIA_NFHS4,INST_DEL_NFHS4,SANITATION_NFHS4,CLEAN_FUEL_NFHS4,IMMUNIZATION_NFHS4,STUNTING_NFHS5,WASTING_NFHS5,UNDERWEIGHT_NFHS5,ANEMIA_NFHS5,INST_DEL_NFHS5,SANITATION_NFHS5,CLEAN_FUEL_NFHS5,IMMUNIZATION_NFHS5,delta_STUNTING,delta_WASTING,delta_UNDERWEIGHT,delta_ANEMIA,delta_INST_DEL,delta_SANITATION,delta_CLEAN_FUEL,delta_IMMUNIZATION,DWEI_score,residual_delta_STUNTING,residual_delta_WASTING,residual_delta_UNDERWEIGHT,residual_delta_ANEMIA,residual_delta_IMMUNIZATION,residual_delta_INST_DEL,residual_delta_SANITATION,residual_delta_CLEAN_FUEL,z_residual_delta_STUNTING,z_residual_delta_WASTING,z_residual_delta_UNDERWEIGHT,z_residual_delta_ANEMIA,z_residual_delta_IMMUNIZATION,z_residual_delta_INST_DEL,z_residual_delta_SANITATION,z_residual_delta_CLEAN_FUEL
Rajasthan,Churu,96,102,8,-0.7527756201313458,-0.44118402826699643,-1.0083621683491353,2039547,348984,0.271909505764402,0.4473605221663766,-0.7384418282817644,RAJASTHAN,CHURU,CHURU,99.99888888888889,39.416666666666664,59.146291978176386,39.89903937944256,CHURU,31.2,21.7,27.1,42.2,80.6,73.3,30.3,57.4,27.1,16.5,23.4,78.1,87.8,80.2,40.6,74.3,-4.099999999999998,-5.199999999999999,-3.700000000000003,35.89999999999999,7.200000000000003,6.900000000000006,10.3,16.9,-0.5866066367801313,0.08318786367296749,4.140324637426579,0.3960647921099265,-25.729569191101334,-1.9863231148121763,-7.449604327142332,-19.689308676594912,-5.275073391348334,0.01224880348077783,0.517159916146686,0.0537661562777958,-1.791168257871048,-0.12310474894742833,-0.9476159189746735,-1.827587204164277,-0.5865518401888824
Rajasthan,Dausa,97,109,8,-0.9050843928237554,0.6934339322834963,-1.0188800776930869,1634409,292502,0.2047504664003436,-0.15629150410975498,0.3599886916114999,RAJASTHAN,DAUSA,DAUSA,99.99361111111112,30.61111111111111,81.05975492014794,31.142267001988785,DAUSA,33.8,15.3,28.1,45.2,89.6,36.1,16.7,57.0,37.7,20.7,33.5,74.4,98.2,59.4,22.6,92.1,3.9000000000000057,5.399999999999999,5.399999999999999,29.200000000000003,8.600000000000009,23.299999999999997,5.900000000000002,35.099999999999994,-0.7741399617424238,-7.273996911310693,-10.14372684378883,-11.413992373846442,-23.75938880349357,16.032854227688443,-6.947586856080395,-2.0745764952238765,-5.116350165193424,-1.0710427549467514,-1.2670332361206655,-1.549459860990297,-1.6540138210302013,0.9936553020463305,-0.8837575278050334,-0.1925648847812583,-0.568902910311514
Rajasthan,Dholpur,98,106,8,-0.8384105148140463,-0.32898619445274424,-0.8071744050180355,1206516,203754,0.3480930874644361,1.0946882361840549,-0.38053513037342074,RAJASTHAN,DHOLPUR,DHOLPUR,99.9986111111111,37.416666666666664,50.71374041222338,37.93089318058082,DHOLPUR,54.3,15.8,39.8,50.1,85.4,31.6,20.7,55.8,45.7,13.7,31.3,81.7,94.4,57.5,36.5,85.9,-8.599999999999994,-2.1000000000000014,-8.499999999999996,31.6,9.0,25.9,15.8,30.10000000000001,-0.039877867433870826,3.689351779117647,1.4642102867433038,4.5272015892676585,-19.911638742142564,11.994102422287344,-6.76594370181305,-2.7837439090868408,0.9184873052492346,0.5432300208059692,0.18289166561198436,0.6145717392675814,-1.3861520576666346,0.7433488320881995,-0.8606518785654668,-0.25839072521449225,0.10212946420189271
Rajasthan,Dungarpur,99,124,8,-1.3530938435447233,1.8681498101253664,-0.734673026419735,1388552,282029,0.3691276554315033,1.2669779861298212,-0.5672921126277569,RAJASTHAN,DUNGARPUR,DUNGARPUR,100.0,49.55555555555556,66.98633612222613,50.09872384161626,DUNGARPUR,46.8,37.5,53.4,76.0,86.4,32.9,16.9,65.8,31.4,15.6,25.9,79.8,94.1,59.9,27.3,83.3,-15.399999999999999,-21.9,-27.5,3.799999999999997,7.699999999999989,27.0,10.400000000000002,17.5,0.5884164766598488,11.706662671960666,17.90249519136154,21.54348572439863,5.143183685998585,-5.585661642143048,-12.362470837944606,-4.914759968103709,-1.4409482805143767,1.7237203139188275,2.2361659344991804,2.9245478096043307,0.3580435915711713,-0.3461780558428032,-1.5725498495556078,-0.4561944036116636,-0.16022352730464637
Rajasthan,Ganganagar,100,99,8,-0.24049565010923815,0.20723299088137484,0.04548026784560121,1969168,387511,0.2049092115748082,-0.1548253253867645,-0.5419979284890117,RAJASTHAN,GANGANAGAR,SRI GANGANAGAR,100.0,34.30555555555556,63.784414083901424,34.79886375381465,GANGANAGAR,29.1,20.6,29.3,40.2,88.8,73.4,39.6,79.9,24.5,24.9,26.1,72.3,97.7,83.4,45.5,89.7,-4.600000000000001,4.299999999999997,-3.1999999999999993,32.099999999999994,8.900000000000006,10.0,5.899999999999999,9.799999999999997,-0.6951013529951231,2.2864943557625654,-6.899521666912435,-0.04298000667507296,-23.700960532966434,-8.23071301869053,-1.8501718346842164,-14.915886188766734,-11.24102894662288,0.3366695427321627,-0.8618058628683928,-0.005834575053748575,-1.6499463272158585,-0.5101082760747303,-0.23534837642281725,-1.3845119290432666,-1.2499250200143335
Rajasthan,Hanumangarh,101,100,8,-0.5262204173016696,-0.17628290850681289,-0.20052176109349973,1774692,336192,0.2059730701515066,-0.14500445425636316,-0.7210301518393004,RAJASTHAN,HANUMANGARH,HANUMANGARH,99.99972222222222,39.72222222222222,64.94370695315206,40.26987832054588,HANUMANGARH,35.0,20.7,23.4,46.2,84.2,55.2,25.1,62.1,24.2,19.8,21.3,81.0,94.9,83.8,36.2,83.3,-10.8,-0.8999999999999986,-2.099999999999998,34.8,10.700000000000003,28.599999999999994,11.100000000000001,21.199999999999996,-0.18591568883480403,7.786805741740126,-1.3299517316679408,-1.307188754209994,-26.668423411458253,2.586382172249813,-1.1339771840955528,2.652950352781101,-6.260042596782476,1.1465500983235573,-0.16612169002671084,-0.17745206401462998,-1.856526751275329,0.16029412617847158,-0.1442458933674974,0.24625029744133953,-0.6960736339376334
Rajasthan,Jaipur,102,110,8,0.01857608262924931,-0.4229406439109776,-1.2372491853545706,6626178,1177096,0.1449133022469843,-0.7231847512777501,0.7822916489651262,RAJASTHAN,JAIPUR,JAIPUR,99.99972222222222,32.25,83.22000337959122,32.82560669893947,JAIPUR,35.7,12.8,25.2,49.5,93.9,58.1,54.6,58.2,25.0,14.6,20.8,71.3,97.3,79.6,60.1,89.3,-10.700000000000003,1.799999999999999,-4.399999999999999,21.799999999999997,3.3999999999999915,21.499999999999993,5.5,31.099999999999994,-0.08929197661066726,8.076158365331217,-4.963350461378511,0.47289534291238144,-14.800240626135983,16.533315102956415,-7.08332331150722,2.780560436959078,-6.287680253199982,1.189155152312538,-0.6199624747320661,0.0641959735290283,-1.0303212238608637,1.0246719629050043,-0.9010236832005638,0.2580952311968466,-0.6991467510352617
Rajasthan,Jaisalmer,103,114,8,-1.8833947243638218,-0.5109719292104417,-0.8828018945829791,669919,117171,0.3032734732573003,0.7184336501252102,-1.0184215907235223,RAJASTHAN,JAISALMER,JAISALMER,99.99472222222222,50.72222222222222,62.22826875429893,51.23912982884852,JAISALMER,37.4,21.9,37.4,42.5,49.8,36.8,17.1,38.6,25.5,25.0,31.7,58.6,90.0,75.7,30.9,72.0,-11.899999999999999,3.1000000000000014,-5.699999999999999,16.1,40.2,38.900000000000006,13.799999999999997,33.4,0.4202484337962777,5.8136916607144435,-4.917822004960458,0.07426034957175265,-8.323855630850893,11.475141032053813,21.215061904801487,5.519201753172531,-2.090870660562704,0.8560235051819081,-0.6142756035890141,0.010080910093140594,-0.5794666004061114,0.7111855797040836,2.698630625223399,0.5122994751608306,-0.2324904209980144
Rajasthan,Jalore,104,116,8,-1.8714200938889436,-0.14719041297304644,-0.5406357260916326,1828730,326134,0.28502991984469,0.5615623365487094,-0.8443638598216274,RAJASTHAN,JALORE,JALORE,99.99916666666668,42.80555555555556,76.51812055500976,43.21961199337739,JALORE,45.0,27.2,42.7,67.0,83.9,39.4,27.1,35.7,44.3,12.1,36.5,66.3,95.5,77.4,36.5,78.0,-0.7000000000000028,-15.1,-6.200000000000003,-0.7000000000000028,11.599999999999994,38.00000000000001,9.399999999999999,42.3,0.17187707405892763,-5.055902563919634,12.330109517891842,-0.00968486435848881,7.302188594212392,20.283179980095085,-6.918207223451358,4.35820586155171,-6.378861807407869,-0.7444446123399702,1.5401300532597375,-0.0013147291579587127,0.508343078960872,1.257074320227713,-0.8800203350159522,0.4045343285797441,-0.7092855120427646
Rajasthan,Jhalawar,105,129,8,-1.2403778470689506,-0.10847597475252571,-0.05866662674034046,1411129,283295,0.265243472946769,0.388886376824174,-0.24036289295833996,RAJASTHAN,JHALAWAR,JHALAWAR,100.0,43.97222222222222,53.00641922130223,44.442607267449866,JHALAWAR,38.1,31.8,47.2,76.6,93.9,36.1,25.5,75.4,34.0,29.0,38.1,73.1,98.3,62.1,33.8,81.5,-4.100000000000001,-2.8000000000000007,-9.100000000000001,-3.5,4.3999999999999915,26.0,8.299999999999997,6.099999999999994,-0.30159220870226583,-0.8902991191800904,-0.05194910662623853,3.2928618985463984,10.650349763265385,-13.030295021499263,-10.783518131659335,-4.790063795724507,-7.551763578638285,-0.13109002285257937,-0.006488862101262496,0.4470090019748763,0.7414258781209243,-0.8075681068053587,-1.3717015019014147,-0.444619942933956,-0.8397041131193559
Rajasthan,Jhunjhunu,106,103,8,-0.14692462211809532,-0.6135346793148647,-1.0632334697642711,2137045,384197,0.1538733524062921,-0.6364374319382898,-0.26199354116621115,RAJASTHAN,JHUNJHUNU,JHUNJHUNU,100.0,41.22222222222222,62.573334138268336,41.76353369991946,JHUNJHUNU,32.5,13.6,19.5,46.2,96.9,66.0,51.0,65.1,20.9,13.9,19.6,77.2,97.1,79.0,55.5,88.7,-11.600000000000001,0.3000000000000007,0.10000000000000142,31.0,0.19999999999998863,13.0,4.5,23.60000000000001,-0.4691290372845779,9.102427742840971,-2.4292081936992043,-2.849548358139102,-23.099091832802632,6.886780093557178,-10.478721247307876,-7.745412199071925,-10.521707576769884,1.3402657995684324,-0.3034276815880724,-0.3868287850799946,-1.608047137099906,0.4268164268700411,-1.3329302642649428,-0.7189392201884964,-1.1699414364936844
Rajasthan,Jodhpur,107,113,8,-0.9450913133590894,-0.5739787723626482,-0.78858896600082,3687165,649013,0.1801486931017145,-0.3858819900899176,-0.30487534148762674,RAJASTHAN,JODHPUR,JODHPUR,99.9986111111111,41.22222222222222,70.04958359058809,41.87337333844106,JODHPUR,40.3,23.8,38.6,63.6,72.7,52.6,44.8,42.1,32.6,13.3,25.4,64.4,90.0,75.4,56.1,81.2,-7.699999999999996,-10.5,-13.200000000000003,0.8000000000000043,17.299999999999997,22.800000000000004,11.300000000000004,39.1,0.5029947858181514,3.6348043846518596,7.642518849633211,8.484864956462033,5.306363996872564,20.544397381239165,3.6763437497434026,-3.1974755841895757,-3.8779147048308644,0.5351983165921607,0.9546121991734441,1.1518281461345206,0.3694034161751561,1.2732635808513968,0.46764387850599604,-0.2967938366591332,-0.43119741422833013
Rajasthan,Karauli,108,107,8,-1.1742401431067022,0.6221476582911907,-0.7399152007133173,1458248,262503,0.2699458064315448,0.43016694100081937,-0.17282735959874237,RAJASTHAN,KARAULI,KARAULI,99.9738888888889,33.861111111111114,57.24876304532458,34.29851908357409,KARAULI,45.5,18.9,35.7,52.8,88.3,21.1,14.0,54.6,37.6,26.6,37.3,75.9,97.6,49.9,24.2,88.9,-7.899999999999999,7.700000000000003,1.5999999999999943,23.10000000000001,9.299999999999997,28.799999999999997,10.2,34.300000000000004,-0.42364013197266853,3.7812672392504867,-11.367175721641903,-7.387981004155522,-15.946551930563981,14.009697529494002,-7.577856573536845,-0.1596419233057631,-2.7205424321854803,0.5567638989259608,-1.4198518613465172,-1.0029251505308372,-1.1101218768325547,0.868267747748003,-0.9639300566108026,-0.014818170666835453,-0.3025055864677652
Rajasthan,Kota,109,127,8,0.18226125940980092,-0.107331717289768,-0.7670803214937951,1951014,396501,0.2037751534931144,-0.1653037869936521,0.3027747877429857,RAJASTHAN,KOTA,KOTA,99.99638888888887,38.19444444444444,66.39707332209268,38.72789628220499,KOTA,32.0,27.7,39.7,73.8,92.1,50.5,60.0,71.2,29.5,20.8,26.4,66.7,97.9,79.0,72.3,84.4,-2.5,-6.899999999999999,-13.300000000000004,-7.099999999999994,5.800000000000011,28.5,12.299999999999997,13.200000000000003,0.38510229937379736,0.1968801397343216,4.719491476231769,10.328462683517827,16.636676744817887,-1.9502027310269447,-4.437488839227379,8.067709064657116,-1.4520809750333736,0.0289891582064685,0.58950252210659,1.4020982167919491,1.158165031075816,-0.1208661449939189,-0.5644642157709551,0.7488552338566622,-0.1614614062822333
Rajasthan,Nagaur,110,112,8,-1.1666324420669996,-0.4956901175398143,-0.593581744021431,3307743,578809,0.224887725567048,0.02817214198549999,-0.544996751257307,RAJASTHAN,NAGAUR,NAGAUR,100.0,43.833333333333336,69.77749289501726,44.23920351345348,NAGAUR,39.1,18.4,31.4,50.8,87.0,53.8,24.4,44.4,31.5,16.2,26.2,65.1,97.0,79.0,45.7,80.6,-7.600000000000001,-2.1999999999999993,-5.199999999999999,14.299999999999997,10.0,25.200000000000003,21.300000000000004,36.199999999999996,0.08083266269969497,2.988990350005155,-0.23450892340790963,0.30692756102991403,-7.330002498762249,16.78335193739463,-4.82452382493282,-3.4044667972656733,5.342014607158054,0.440106931307719,-0.02929205455750564,0.04166569596955465,-0.5102793485729723,1.0401682945449031,-0.6136964296642935,-0.31600702990049895,0.5939952424706535
Rajasthan,Pali,111,118,8,-1.115697501898872,-0.2661058553123787,-0.13340405344378575,2037573,418157,0.2076660364627147,-0.12939390645108934,-0.5389619606182833,RAJASTHAN,PALI,PALI,99.98833333333332,44.333333333333336,80.13970944747071,44.881882213629055,PALI,44.4,21.7,41.3,53.4,83.1,50.9,40.8,57.6,35.9,18.3,35.9,72.6,98.8,81.8,53.1,90.2,-8.5,-3.3999999999999986,-5.399999999999999,19.199999999999996,15.700000000000003,30.9,12.300000000000004,32.6,0.06506914533617394,4.246464356489878,0.37397050779902496,0.28127137236850075,-13.055425252104882,13.10590772306379,1.8326033119879472,1.8701591170120437,-4.494030603941603,0.6252607663451122,0.04671193043811339,0.03818284499026512,-0.9088556100918315,0.8122542943515466,0.23311359843344187,0.1735905982349333,-0.4997052600121895
Rajasthan,Pratapgarh,629,131,8,-1.6133890613967221,1.681169268460539,-0.6177865298885116,867848,178726,0.3117717011393518,0.7907593751623838,-0.6792080822689875,RAJASTHAN,PRATAPGARH,PRATAPGARH,100.0,45.19444444444444,57.14081304240862,45.68113514420709,PRATAPGARH,46.3,38.2,54.6,75.8,89.5,15.1,13.6,66.3,29.0,24.9,31.8,65.8,96.4,46.3,23.0,75.8,-17.299999999999997,-13.300000000000004,-22.8,-10.0,6.900000000000006,31.199999999999996,9.4,9.5,0.4236934994240288,13.459275543166285,8.53549247577717,16.25041938026125,16.59205013150555,-14.341384191044693,-13.013289935002199,-1.3306644622231687,-3.1636521817094554,1.9817797193349023,1.0661518019966785,2.2060092322883107,1.155058341934321,-0.8888244250050511,-1.6553363318520542,-0.12351400367276774,-0.35177633963210914
Rajasthan,Rajsamand,112,123,8,-1.1431271099244131,-0.2625024899901049,-0.6494636962370035,1156597,243078,0.1859612898397359,-0.33120831976315773,-0.07935920405748996,RAJASTHAN,RAJSAMAND,RAJSAMAND,99.9986111111111,49.22222222222222,81.72614894730154,49.79657341769027,RAJSAMAND,38.6,28.9,38.8,75.9,84.7,32.3,25.1,60.0,30.3,16.6,23.7,84.3,95.1,72.1,37.1,71.7,-8.3,-12.299999999999997,-15.099999999999998,8.399999999999991,10.399999999999991,39.8,12.0,11.700000000000003,0.3282739102481095,3.9727720122643744,8.614058269259132,9.378263641465233,-3.2909718007640505,-7.265300743795564,-4.1500927765840245,12.496421476296543,-2.342715433372792,0.5849615737634785,1.0759653028033165,1.273107831360688,-0.2291015517320045,-0.45027569654853955,-0.527906423967272,1.1599340719906324,-0.26049382568542295
Rajasthan,Sawai Madhopur,113,108,8,-1.1855980155095174,0.43013480465531023,-0.8135775699474664,1335551,254716,0.2492748191176347,0.2475475651523605,-0.324256608368062,RAJASTHAN,SAWAI MADHOPUR,SAWAI MADHOPUR,99.99361111111112,34.416666666666664,55.98702303502486,34.903183908097674,SAWAI MADHOPUR,39.4,16.4,34.4,49.8,87.4,34.6,17.9,46.0,26.9,22.0,24.2,73.3,97.4,71.2,29.1,54.9,-12.5,5.600000000000001,-10.2,23.5,10.0,36.6,11.200000000000003,8.899999999999999,-0.18467684919543217,8.454419433075145,-9.162601479748682,4.6677921213672136,-16.69551185373662,-11.558241852379542,-6.556053609756866,8.056930095747397,-2.219069735847393,1.2448513233482439,-1.1444827707755705,0.6336570320545887,-1.16226084701276,-0.7163358523597444,-0.8339531193115244,0.7478547159625574,-0.24674527546924804
