state_name,district_code,district_name,wage_timeliness_pct,avg_days_per_hh,women_pct,persondays_per_hh
ASSAM,423,CACHAR,99.99805555555555,25.5,30.183106171719235,25.978230086973493
ASSAM,424,BAKSA,99.99472222222222,17.47222222222222,51.0802579093804,18.002248324634234
ASSAM,425,CHIRANG,99.92833333333334,22.583333333333332,48.23306286383865,23.065882788701018
ASSAM,426,KAMRUP (METRO),99.99833333333333,19.194444444444443,50.56932132607105,19.610113868462964
ASSAM,427,UDALGURI,99.96472222222222,23.666666666666668,45.799947155932074,24.17437028230888
ASSAM,428,Biswanath,99.96777777777778,21.333333333333332,47.44828779888734,21.96040106480214
ASSAM,429,HOJAI,99.80805555555555,30.75,40.174011347922885,31.23687036807293
ASSAM,430,CHARAIDEO,99.99972222222222,15.972222222222221,44.45515737109054,16.43525553100334
ASSAM,431,SOUTH SALMARA-MANKACHAR,99.99555555555555,22.944444444444443,56.88189704764476,23.521274529881012
ASSAM,432,MAJULI,99.99805555555555,29.805555555555557,41.28808806256814,30.210448093893106
ASSAM,434,WEST KARBI ANGLONG,99.9775,15.416666666666666,50.704004072485866,15.860514030004921
BIHAR,501,PATNA,100.0,31.75,51.62308155102654,32.17345511893996
BIHAR,502,NALANDA,100.0,37.77777777777778,54.74260758540974,38.28486096520502
BIHAR,503,BHOJPUR,100.0,31.13888888888889,43.00208894758535,31.630693597060738
BIHAR,504,ROHTAS,100.0,27.61111111111111,38.691999764202066,28.149519268195863
BIHAR,505,AURANAGABAD,100.0,36.111111111111114,44.57055598573622,36.59717239372925
BIHAR,506,JEHANABAD,100.0,37.19444444444444,46.34322718352732,37.6759088354328
BIHAR,507,GAYA,100.0,31.416666666666668,55.870709502644786,31.948542474544904
BIHAR,508,NAWADA,100.0,32.861111111111114,53.620996827773666,33.303196224925685
BIHAR,509,SARAN,99.92,37.111111111111114,48.11654413262213,37.56310141523936
BIHAR,510,SIWAN,100.0,29.916666666666668,42.73070246762154,30.464316450651967
BIHAR,511,GOPALGANJ,100.0,28.583333333333332,44.408190060118,29.146951223996172
BIHAR,512,PASHCHIM CHAMPARAN,100.0,30.0,55.10355740411113,30.41713334445294
BIHAR,513,PURBI CHAMPARAN,100.0,32.833333333333336,58.93153488553034,33.25711068582066
BIHAR,514,SITAMARHI,100.0,29.88888888888889,56.76611036394939,30.29519682377472
BIHAR,515,MUZAFFARPUR,100.0,31.22222222222222,53.55823355057099,31.761908266535826
BIHAR,516,VAISHALI,100.0,31.0,64.21211560033409,31.482619068629024
BIHAR,517,BEGUSARAI,100.0,31.13888888888889,65.30922772501305,31.523270062704583
BIHAR,518,SAMASTIPUR,100.0,34.44444444444444,59.86308548097499,34.891004706142056
BIHAR,519,DARBHANGA,100.0,32.52777777777778,60.37715107691801,33.027602910751234
BIHAR,520,MADHUBANI,100.0,29.52777777777778,63.14039746578789,30.064383230556253
BIHAR,521,SAHARSA,100.0,33.77777777777778,56.220188213089365,34.16562083478427
BIHAR,522,MADHEPURA,100.0,33.138888888888886,54.210533966697454,33.580956597001155
BIHAR,523,PURNIA,100.0,30.333333333333332,60.62625969490188,30.833443146202185
BIHAR,524,KATIHAR,99.99944444444445,32.666666666666664,60.361304299623235,33.17102776800084
BIHAR,525,KHAGARIA,100.0,29.61111111111111,68.89141459647165,30.07514327024202
BIHAR,526,MUNGER,100.0,32.77777777777778,51.60323975786782,33.300628945595605
BIHAR,527,BHAGALPUR,99.98166666666667,34.416666666666664,49.54293080695238,34.827268098719955
BIHAR,541,ARARIA,100.0,29.63888888888889,52.54964163682108,30.18443246178071
BIHAR,542,KISHANGANJ,100.0,36.97222222222222,55.18525945651005,37.49535002100693
BIHAR,543,SHEOHAR,100.0,33.77777777777778,52.0471154008879,34.316212804727016
BIHAR,544,SUPAUL,100.0,31.86111111111111,60.28905608071126,32.31822644041781
BIHAR,545,BANKA ,100.0,33.416666666666664,56.76038148320507,33.84679930829417
BIHAR,546,LAKHISARAI,99.83055555555556,32.111111111111114,52.927812762730696,32.65623649589727
BIHAR,547,Sheikhpura ,100.0,35.166666666666664,49.81284691683008,35.59853985170222
BIHAR,548,BUXAR ,100.0,29.944444444444443,37.502418101909534,30.467457924074047
BIHAR,549,KAIMUR (BHABUA),100.0,33.083333333333336,43.12910552701977,33.52921689338041
BIHAR,550,JAMUI,99.99472222222222,33.72222222222222,55.004816016322074,34.299977115419225
BIHAR,551,ARWAL,100.0,33.611111111111114,46.896049475591425,34.19912178018958
CHHATTISGARH,3301,BILASPUR,99.9986111111111,41.27777777777778,50.945262565182695,41.86097676560118
CHHATTISGARH,3302,KAWARDHA,100.0,44.19444444444444,48.452101581026845,44.73709542623645
CHHATTISGARH,3303,DURG,100.0,31.25,65.57709837660346,31.699171534367046
CHHATTISGARH,3304,RAJNANDAGON,99.99972222222222,41.30555555555556,59.83138916745377,41.803633990162695
CHHATTISGARH,3305,SURGUJA,99.90333333333334,34.416666666666664,41.281690784141354,34.846949651629174
CHHATTISGARH,3306,KOREA,99.99722222222222,41.27777777777778,44.0396829933639,41.74629684657448
CHHATTISGARH,3307,JASHPUR,99.96,41.19444444444444,43.88456584738038,41.61430289439475
CHHATTISGARH,3308,KORBA,99.99222222222221,34.861111111111114,49.31177843458228,35.33485700435804
CHHATTISGARH,3309,DHAMTARI,100.0,31.916666666666668,51.20083427818716,32.4753059066084
CHHATTISGARH,3310,KANKER,99.98722222222221,39.30555555555556,51.23530714187751,39.772446187883766
CHHATTISGARH,3311,BASTAR,99.95972222222223,37.861111111111114,48.87476614525778,38.31778788121842
CHHATTISGARH,3312,DANTEWADA,99.79444444444444,42.416666666666664,47.71592944866228,42.92984120019585
CHHATTISGARH,3313,RAIGARH,99.95277777777778,33.30555555555556,44.804294309666226,33.79444452465205
CHHATTISGARH,3314,JANJGIR-CHAMPA,99.99944444444445,29.194444444444443,50.10273607471797,29.710633958069952
CHHATTISGARH,3315,MAHASAMUND,99.97638888888889,38.77777777777778,48.76965053212369,39.267616375808664
CHHATTISGARH,3316,RAIPUR,99.91333333333334,35.916666666666664,55.93703672876503,36.43713911365858
CHHATTISGARH,3317,BIJAPUR,99.99972222222222,44.111111111111114,48.70448237858856,44.632450670132215
CHHATTISGARH,3318,NARAYANPUR,99.97111111111111,38.19444444444444,51.291091985391205,38.60744195395653
CHHATTISGARH,3319,BALODA BAZAR,99.84305555555555,33.69444444444444,50.90884211979355,34.21958612058591
CHHATTISGARH,3320,GARIYABAND,99.99277777777777,37.19444444444444,50.14480426795349,37.72420777825728
CHHATTISGARH,3321,BEMETARA,99.96694444444444,32.30555555555556,48.088486621343435,32.7918579783813
CHHATTISGARH,3322,BALOD,100.0,35.0,62.263757350037835,35.537465857156235
CHHATTISGARH,3323,KONDAGAON,99.9925,36.833333333333336,49.8706827351259,37.334727396316374
CHHATTISGARH,3324,SUKMA,99.99972222222222,47.52777777777778,50.33085613330552,47.9915361510959
CHHATTISGARH,3325,MUNGELI,99.90527777777778,42.861111111111114,47.37025492224319,43.39830956603612
CHHATTISGARH,3326,SURAJPUR,99.99944444444445,41.583333333333336,42.00315806502441,42.08829822410839
