pc11_state_id,pc11_district_id,female_literacy_pct,scst_pct,agri_worker_pct,total_population,total_households
9,150,40.61149072987247,12.597387036432986,20.20716305588977,4448359,756784
9,151,42.419486863989235,16.507673287192016,29.87408694151031,2031007,362573
9,152,41.12374878136751,17.734051590234348,25.020621784324014,3006538,527501
9,153,41.984377700131084,27.731649144306875,26.911585610838102,4021243,745077
9,154,42.0173203940954,32.293300255665045,25.63913946477382,4483992,801764
9,155,44.54678992302,31.14835768273658,23.60499489107314,4092845,730442
9,156,48.74049571123197,30.61137890088268,20.602338313878015,3108367,588533
9,157,63.07934636747835,20.824264385801854,8.896063039959733,4589838,860703
9,158,48.38897603593914,30.30700686730137,26.934307588052768,3405559,619707
9,159,49.81432686662935,16.59990112475891,20.392006505353013,1885204,314144
9,160,53.36469464663672,18.71254412609802,19.69729874208583,1656616,280928
9,161,59.5716580112344,24.557437366055343,23.306912840027877,1581810,277527
9,162,60.146206831846506,28.398638681594296,27.604299385056535,1379545,248197
9,163,57.30128258230893,25.6847294041145,29.76634399566701,1796184,329817
9,164,66.64474782013536,17.91004149942767,13.033552831757467,4581268,863338
9,165,53.80478184216501,27.75249796742435,29.80636073344025,1689974,288338
9,166,55.33640682259365,28.338694578162848,22.639235341698196,1998603,367779
9,167,41.95883089525837,25.55100229863981,16.602106808054156,1221592,222094
9,168,48.002929037411796,21.88493006787197,30.853207059836418,1104285,204863
9,169,45.366943359375,25.291737731717728,27.93407956030698,875958,158435
9,170,44.66656429131865,21.563623632190552,32.13673763326932,1799410,319963
9,171,43.26058330765136,26.924767829953716,31.672174768412038,991730,168232
9,172,48.16968760692013,24.75830249402427,30.580342487420843,2632733,472238
9,173,50.53959437474423,22.123521528035074,23.195476417371744,3209141,533546
9,174,40.22343652896884,34.733145119142584,45.005682474862276,1599596,277851
9,175,51.951934822843185,22.13166720156604,18.248244389663114,5954391,976733
9,176,43.893446685367,26.533237198527065,27.10914857352444,3260699,579058
9,177,50.56778782335343,22.50015783109321,21.30134379424019,2470996,423375
9,178,54.008847064222195,24.683012717858382,24.889908797772325,2397888,368728
9,179,49.91439715999365,22.44552906850118,27.458185412617393,3797117,623523
9,180,31.638163405718416,14.922767839606896,30.034353260197026,3487731,603754
9,181,28.008229792306633,17.440021622376296,29.113858791383475,1117361,188289
9,182,31.27964377180969,14.059846462803648,31.19284454588459,2148665,323881
9,183,39.21688052937472,15.517052091211237,27.103559323637928,3433919,541247
9,184,38.61787910476332,16.441389959821,29.79955038922363,2559297,379351
9,185,47.47500810458554,21.001686370748367,21.292965897720205,2464464,382212
9,186,45.87091837398451,21.60888954706291,27.42293362666837,1715183,256645
9,187,41.250271499498446,18.974575586200782,35.11369404930195,2684703,426565
9,188,51.150145299516716,21.48740287712274,21.91159742812317,4440895,692960
9,189,44.15132302579632,17.519772515081872,33.854618562926895,3564544,561062
9,190,50.9079570965328,18.6574355051652,18.830564229591857,3100946,468346
9,191,52.06313342427721,25.59010107039296,19.593329865148824,4613913,665232
9,192,54.062509450093884,22.550281781059383,16.987019407826697,2205968,324424
9,193,51.22498838450109,18.668339211315356,28.303033069837515,3239774,480268
9,194,51.293618132951934,22.141429272013465,22.675331020013452,4494204,663513
9,195,51.21230369710281,20.864560303270366,28.67837382853402,3620268,546664
9,196,50.82649534524754,25.016489515331152,23.943414822462106,1952756,296804
9,197,57.823148245226164,14.022227232561866,10.67964433767286,3676841,560162
9,198,47.12195602725407,22.492274490198724,12.584936824425567,1578213,222403
9,199,47.510863803192116,27.283507611224806,28.15351588464525,2496970,394925
9,200,43.055828279371426,43.3102521852999,37.08874208199479,1862559,333174
9,201,49.3458793603509,15.84413461971958,19.284387064475446,1774480,290683
9,202,40.44983748516848,17.71042214935558,17.971698512661714,1436719,237903
